mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.005947987238566081,0.0019824283477170098,0.0,0.0,0.1,l1,lbfgs,"{'C': 0.1, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,,,10
1.6605873107910156,0.2799059182718372,0.012053251266479492,0.004652277872514419,0.1,l1,liblinear,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}",0.2755430410297667,0.2835880933226066,0.27283702213279676,0.27732271882839,0.004565948074772231,9
15.207379341125488,1.6416562720787453,0.016069332758585613,0.002995951600605469,0.1,l2,lbfgs,"{'C': 0.1, 'penalty': 'l2', 'solver': 'lbfgs'}",0.665728077232502,0.6769911504424779,0.6841046277665996,0.6756079518138599,0.007565682662202125,6
0.5186280409495035,0.03699871413861742,0.00952005386352539,0.0007476971109115652,0.1,l2,liblinear,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}",0.66934835076428,0.6786001609010458,0.6857142857142857,0.6778875991265373,0.006700336554175109,5
0.004121462504069011,0.00018332981454662745,0.0,0.0,1.0,l1,lbfgs,"{'C': 1.0, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,,,10
1.3647995789845784,0.054347634436105935,0.012856483459472656,0.004405829621942459,1.0,l1,liblinear,"{'C': 1.0, 'penalty': 'l1', 'solver': 'liblinear'}",0.6013676588897828,0.6041834271922768,0.6140845070422535,0.6065451977081043,0.005453624281785668,8
22.153093338012695,1.0009872249552665,0.018370628356933594,0.008921251114235003,1.0,l2,lbfgs,"{'C': 1.0, 'penalty': 'l2', 'solver': 'lbfgs'}",0.6773934030571199,0.6922767497988737,0.7030181086519115,0.6908960871693016,0.010506698059728632,4
0.9027745723724365,0.06202783562648351,0.009493033091227213,0.0008692695692305761,1.0,l2,liblinear,"{'C': 1.0, 'penalty': 'l2', 'solver': 'liblinear'}",0.6834271922767498,0.6934835076427996,0.7078470824949699,0.6949192608048399,0.01002093807731963,2
0.00395512580871582,0.00022094607037300866,0.0,0.0,10.0,l1,lbfgs,"{'C': 10.0, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,,,10
4.7175867557525635,2.9573910455782677,0.021678368250528973,0.009633527204104932,10.0,l1,liblinear,"{'C': 10.0, 'penalty': 'l1', 'solver': 'liblinear'}",0.6086082059533386,0.6186645213193885,0.6257545271629779,0.6176757514785683,0.007034786521500023,7
24.62988503774007,3.461338225117865,0.016596555709838867,0.00556188051500314,10.0,l2,lbfgs,"{'C': 10.0, 'penalty': 'l2', 'solver': 'lbfgs'}",0.6806114239742558,0.6938857602574416,0.7038229376257545,0.692773373952484,0.009508650236040212,3
1.8843926588694255,0.562604133402299,0.013366222381591797,0.006433134870318536,10.0,l2,liblinear,"{'C': 10.0, 'penalty': 'l2', 'solver': 'liblinear'}",0.6878519710378117,0.6954947707160096,0.7082494969818913,0.6971987462452377,0.00841397312463048,1
