mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.031131426493326824,0.01069650287470453,0.0,0.0,0.1,l1,lbfgs,"{'C': 0.1, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,,,10
37.45593206087748,5.775665470895301,0.13135059674580893,0.025811058653084463,0.1,l1,liblinear,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}",0.5082051282051282,0.5070769230769231,0.5145641025641026,0.509948717948718,0.0032959109073490657,9
167.8165888786316,3.9141383125706053,0.13695375124613443,0.017752382162143563,0.1,l2,lbfgs,"{'C': 0.1, 'penalty': 'l2', 'solver': 'lbfgs'}",0.7397948717948718,0.7486153846153846,0.744,0.7441367521367521,0.0036022573908025364,5
43.84589958190918,2.9886003086415687,0.10610922177632649,0.029102740697764824,0.1,l2,liblinear,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}",0.7385641025641025,0.7476923076923077,0.7431794871794872,0.7431452991452993,0.0037266525490408293,6
0.012895425160725912,0.00014831479650603423,0.0,0.0,1.0,l1,lbfgs,"{'C': 1.0, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,,,10
66.65590318044026,18.422240473733176,0.12314136823018391,0.03236594477753748,1.0,l1,liblinear,"{'C': 1.0, 'penalty': 'l1', 'solver': 'liblinear'}",0.7116923076923077,0.7203076923076923,0.7186666666666667,0.7168888888888888,0.0037351111887172933,8
299.85438736279804,3.01802480811972,0.18311015764872232,0.05383720705799949,1.0,l2,lbfgs,"{'C': 1.0, 'penalty': 'l2', 'solver': 'lbfgs'}",0.7445128205128205,0.753948717948718,0.7516923076923077,0.750051282051282,0.004023163263823767,4
52.16741935412089,0.31658199251798513,0.13685393333435059,0.023548614391813258,1.0,l2,liblinear,"{'C': 1.0, 'penalty': 'l2', 'solver': 'liblinear'}",0.7462564102564102,0.7551794871794871,0.7534358974358975,0.7516239316239316,0.003861583485358201,3
0.017038742701212566,9.92509433041996e-05,0.0,0.0,10.0,l1,lbfgs,"{'C': 10.0, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,,,10
50.44539062182108,1.9001112264848763,0.09665679931640625,0.011339505965224008,10.0,l1,liblinear,"{'C': 10.0, 'penalty': 'l1', 'solver': 'liblinear'}",0.725948717948718,0.7316923076923076,0.7288205128205129,0.7288205128205129,0.002344810693946265,7
290.84049701690674,11.275685218279385,0.16163261731465658,0.09036709301368807,10.0,l2,lbfgs,"{'C': 10.0, 'penalty': 'l2', 'solver': 'lbfgs'}",0.7466666666666667,0.7565128205128205,0.7544615384615385,0.7525470085470086,0.004241521345441593,2
62.195714712142944,3.044426299681286,0.12512644131978354,0.02281399365628012,10.0,l2,liblinear,"{'C': 10.0, 'penalty': 'l2', 'solver': 'liblinear'}",0.7478974358974358,0.7577435897435898,0.7571282051282051,0.7542564102564103,0.004503486851302628,1
